Crack #,Perimeter,Area,Circularity,Aspect Ratio,Height,Width,Angle,X Location,Y Location
1694,191.095,316.5,0.108914,5.375,14.0473,75.5043,-11.6894,576.208,317.336
1707,88.9117,124,0.197112,5.65179,6.82876,38.5947,-52.4314,735.993,315.11
1712,53.1127,48,0.213823,1.7,10,17,-0,23.5,305
1713,25.3137,12,0.235331,2,4.21718,8.43436,-29.7449,318.708,302.738
1715,61.6985,46.5,0.153502,1.09375,11.8845,12.9987,-21.8014,135.103,305.759
1717,59.9411,57,0.199359,4.12037,5.74826,23.685,-64.7989,7.87252,310.146
1747,36.1421,25,0.240504,3.75,4,15,-0,724.5,292
1761,672.541,1070.5,0.0297412,4.30043,40.2929,173.277,-6.82924,436.657,307.289
1776,33.3137,19,0.215138,3.25,4,13,-0,115.5,285
1819,26.7279,10.5,0.184701,3.59375,11.015,3.06504,-73.3008,199.165,274.95
1862,87.7401,75,0.122426,6.46154,5.81378,37.5659,-63.435,764.6,280.3
1886,47.799,34,0.187004,2.3,17.1168,7.44208,-82.875,35.7231,265.215
1913,277.764,358,0.0583095,2.10562,41.1062,86.5539,-3.44739,654.963,277.882
1926,23.3137,7,0.16184,1.14286,4.94975,5.65685,-45,378.25,254.25
1951,72.0416,71.5,0.173121,4.77019,30.5012,6.39413,-83.1572,108.804,249.636
1981,94.0833,120,0.17036,2.30675,12.7868,29.4959,-25.56,197.546,243.869
1995,72.2843,98,0.235694,1.72727,11,19,-0,88.5,240.5
1997,422.375,568.5,0.0400447,1.73498,60.0354,104.16,-14.9314,381.193,270.349
2005,40.1421,28,0.218357,2.5,5.9346,14.8365,-38.6598,7.67073,239.463
2011,415.061,627.5,0.045772,2.74519,37.9655,104.223,-34.7778,140.518,269.946
2029,76.5269,112.5,0.241398,2.27273,11,25,-0,286.5,233.5
2050,145.782,178.5,0.105546,1.68182,22,37,-0,43.5,237
2064,150.711,176,0.0973721,3.16632,50.4142,15.922,-76.4296,731.83,232.562
2082,45.2132,23.5,0.14446,6.66667,2.84605,18.9737,-18.4349,745.75,222.25
2121,28.7279,15.5,0.236011,1.45,8.20244,5.65685,-8.1301,21.76,213.32
2133,21.8995,7.5,0.196518,3.6875,9.21425,2.49878,-51.3402,158.793,207.634
2178,25.8995,12.5,0.234173,3.6087,2.8528,10.2949,-7.12502,103.962,194.192
2184,33.8995,21.5,0.235105,5.64,2.71163,15.2936,-12.5288,790.523,192.606
